,,Situation,Ruling,Reference
,,Quarterback A7 takes an upright position behind the snapper with his hands at his side.  All Team A players are set for at least one second when A7 moves his hands under center after back A24 goes in motion.  A24 continues his motion to the snap.,Illegal shift.,
,,"With less than two minutes remaining in the first half, Team A is in a hurry-up offense.  End A89 runs a long pass pattern and does not return to his team's huddle.  He remains outside the nine-yard marks and goes to a position near the sideline after the ready.",Foul on A89 for an illegal formation.  Five-yard penalty simultaneous with the snap.,
,,"With four seconds remaining in the first half, Team A decides to attempt a field goal on second down.  The regular offensive line (all players numbered 50-79) is in the formation except for snapper A49.",Legal.,
,,"With four seconds remaining in the first half, Team A decides to attempt a field goal on second down.  The regular offensive line (all players numbered 50-79) is in the formation except for right tackle A99.",Foul for illegal numbering.,
,,"Fourth and five on Team B's 30 yard line.  Team A comes to the line and assumes an initial set in a scrimmage kick formation.  When the snapper touches the ball, Team A has only four players numbered 50-79.  A82 assumes an initial position as a tackle, in effect becoming the fifth lineman.  Team A then shifts, uncovering A82, who is now lines up as an end.  The ball is snapped to A7, standing deep on Team B's 40 yard line.  Immediately after the snap, A82 goes downfield.  A7 fakes a punt and throws a forward pass into Team B's end zone.","A82 is an inelligible receiver downfield.  5 yard penalty from the previous spot, replay fourth down.",
,,"Fourth and five on Team B's 30 yard line.  Team A comes to the line and assumes an initial set in a scrimmage kick formation.  When the snapper touches the ball, Team A has only four players numbered 50-79.  A82 assumes an initial position as a tackle, in effect becoming the fifth lineman.  Team A then shifts, uncovering A82, who is now lines up as an end.  The ball is snapped to A7, standing deep on Team B's 40 yard line.  Immediately after the snap, A82 goes downfield.  A7 fakes a punt and runs to Team B's 22 yard line.",Legal.,
,,"Team A liens up with eight men on the line of scrimmage.  The end, A89, leaves his position on the line (no false start) and is in motion three yards behind the neutral zone and parallel to his own goal line when the ball is snapped.",Foul for illegal motion.  The motion man must be five yards behind the line of scrimmage at the snap unless he clearly established himself as a back by stopping in the backfield for at least one second.,
,,"Team A lines up with eight men on the line of scrimmage.  The end, A89, leaves his position on the line (no false start), moves clearly into the backfield, and stops for one second.  He then goes in motion and is moving parallel to the goal line and three yards behind the neutral zone when the ball is snapped.",Legal play.  A89 established himself as a back.,
,,"As Team A lines up for a scrimmage play, A45 is in a three-point stance in the slot (between the tackle and split-end) and is positioned such that he is neither on the line nor in the backfield by rule.  Before the snap, he slowly goes in motion and is at least five yards behind his line and moving toward his own goal line when the ball is snapped.","Legal play.  A45 was never a lineman, so is not restricted in his motion.",
,,Team A is at the line when B73 jumps into the neutral zone and delivers a blow on stationary A66.,Encroachment on B73.,
,,Team A is at the line when B73 jumps into the neutral zone and contacts A66 and then steps back and knocks A66 to the ground.,"Two fouls.  Encroachment on B73 and personal foul on B73.  Since both are dead-ball fouls, both will be enforced.",
,,As Team A players are taking their positions on the line B57 imitates the quarterbacks cadence as used on previous plays.,"Not a foul at that time, Once Team A players are set and the quarterback is trying to call the signals it would be a dead-ball foul if B57 continues the imitated cadence.",
,,"B52 yells ""hut hut"" as A7 is calling signals.",Dead-ball foul for unsportsmanlike conduct; 15-yard penalty.,
,,On fourth and one from Team Bs 15 yard line all Team A players are set B61 is in a two point stance across from A75. While the quarterback is calling signals B61 claps his hands.,Dead-ball foul for unsportsmanlike conduct; 15-yard penalty.,
,,On fourth and one from Team Bs 15 yard line all Team A players are set B61 is in a two point stance across from A75. While the quarterback is calling signals B61 stomps his foot.,Dead-ball foul for unsportsmanlike conduct; 15-yard penalty.,
,,On fourth and one from Team Bs 15 yard line all Team A players are set B61 is in a two point stance across from A75. While the quarterback is calling signals B61 shifts to a wider position on the line and immediately returns to his original position.,Legal.  Team B players may be moving as long as they are behind their side of the neutral zone.,
,,Team A is winning with less than a minute to play.  A8 takes the snap and fakes placing a knee on the ground.  He then runs for a score.,Legal.,
,,"With K11 in kicking position for a field goal, the ball is snapped to holder K22 who has one knee on the ground.  Without lifting that knee, K22 hands the ball to K11.",The ball is dead as soon as K22 hands the ball off.,
,,"With K11 in kicking position for a field goal, the ball is snapped to holder K22 who has one knee on the ground.  Without lifting that knee, K22 throws a forward pass to eligible K83.",The ball is dead as soon as K22 passes the ball.,
,,"At the snap, K12 is in a position to hold for a place kick with one knee on the ground and a teammate in kicking position. The snap is low and bounces along the ground. K12 rises to recover the snap, and immediately returns his knee to the ground and places the bail for the kick.",Legal.  A holder may rise to recover an errant snap.,
,,"Before the ready-for-play, snapper A50 puts his hand on the ball. He then rises and removes his hand from the ball, to speak to the quarterback.",No foul; the snapper is not restricted until the ready.,
,,"On a try, Team A lines up in a ""swinging gate"" formation with A87 over the ball. A87 touches the ball. Team A then shifts and A87 moves 10 yards to his right.",Snap infraction.,
,,"On a try, Team A lines up in a ""swinging gate"" formation with A87 over the ball. A87 places his hand six inches above the ball.  Team A then shifts and A87 moves 10 yards to his right.",Legal.,
,,"After the ready and after snapper A52 touches the ball, A63 lines up with his head in the neutral zone.",A dead-ball foul for encroachment.,
,,"After the ready, snapper A58 is the first Team A player to come to the line. Before he places a hand on the ball, A77 breaks the plane of the neutral zone.",No foul; encroachment restrictions are not in effect for Team A until the snapper touches the ball.,
,,"After Team A is set, back A24 misses the snap count and prematurely lifts up from his three-point stance, He quickly recognizes his error and resets. ",False start.,
,,"Snapper A54 comes to the line and places a hand on the ground. Before touching the ball, he rises to tell the tight end to switch to the other side of the formation.","Legal, the snapper is not restricted as are the other interior lineman with regard to placing a hand on or near the ground. ",
,,"On a field goal attempt with K12 in kicking position, the ball is snapped high to holder K32 who has one knee on the ground. K32 then rises, and immediately returns his knee to the ground.",Legal.,
,,"On a field goal attempt with K12 in kicking position, the ball is snapped high to holder K32 who has one knee on the ground. K32 then rises, and takes a few steps before returning his knee to the ground.",Ball becomes dead when K32 places his knee on the ground.,
,,Team A comes to the line with eight players. End A81 shifts to the backfield leaving A80 on that end of the line. The new end rises from a three-point stance and shifts to a wider position.,"Legal shift. Players on the end of the line may shift, regardless of number, as long as they do not simulate action at the snap.  ",
,,Team A comes to the line with eight players. End A81 shifts to the backfield leaving A77 on that end of the line. The new end rises from a three-point stance and shifts to a wider position.,"Legal shift. Players on the end of the line may shift, regardless of number, as long as they do not simulate action at the snap.  ",
,,"After the referee declares the ball ready for play, Team A breaks its huddle and 10 players stop in their positions to await the snap. A25 never stops, but is moving parallel to his goal line when the ball is snapped. ","Illegal shift. Breaking the huddle is a shift, and all 11 players must come to a complete stop for a full second before the snap or before any player goes in motion. This is a five-yard penalty from the previous spot. ",
,,"A37 is lined up as a slot in the gap between the right tackle and A89, the widest man on the line of scrimmage. While in a three-point stance, A37 notices he is in ""no-man's-land,"" neither on the line nor in the backfield. He moves back to get into the backfield and re-sets.",Legal play. A37 is not an interior lineman and is thus not restricted. ,
,,"A37 is lined up as a slot in the gap between the right tackle and A89, the widest man on the line of scrimmage. While in a three-point stance, A37 notices he is in ""no-man's-land,"" neither on the line nor in the backfield.  Before the snap, A89 moves into the backfield, and then A37 slowly moves forward and sets up on the line of scrimmage.",This is a legal shift which leaves Team A in a legal formation at the snap. ,
,,"Team A comes to the line with split end A89 on the line and flanker A46 split out wider on the line covering. All team members go down in a three-point stance except A89 and A46. After all players are set for one second, A89, although still covered, slowly moves off the line and into the backfield and is set for one second before the snap.",Legal shift.  An interior lineman may shift as long as the movement is not abrupt and the lineman has not put a hand on or near the ground.,
,,"Team A comes to the line with tackle A77 on the line and flanker A46 split out wider on the line covering. All team members go down in a three-point stance except A77 and A46. After all players are set for one second, A77, although still covered, slowly moves off the line and into the backfield and is set for one second before the snap.",Legal shift. An interior lineman may shift as long as the movement is not abrupt and the lineman has not put a hand on or near the ground.,
,,"Fourth and four on Team K's 35 yard line. K comes to the line in a scrimmage formation. After calling a few signals, A7 says ""shift."" All eleven players then make a movement. Some players move to a new position for a scrimmage kick formation, while four interior linemen remain in place and move from a hands-on-thighs position to an upright position and finally to a three-point stance.","This is a false start if it is judged to be designed to cause Team B to encroach. There likely was no other purpose in the movement of the interior linemen. In judging the offensive team's intent, the officials should consider whether players move to a new position, the speed and abruptness of movement, down and distance and if any player pretends to have the ball or otherwise simulates an act associated with the start of a play. ",
,,"At the snap, Team A's formation is legal except A25, lined up outside the tight end, is not on the line, but his head breaks the vertical plane through the waist of the tight end.",Illegal formation; a five-yard penalty from the previous spot.,
,,"First and 10 on Team A's 26 yard line. Team A is in a formation with A21 and A33 side-by-side, 10 yards behind the line. Neither is directly behind the snapper. At the snap, B53 charges the snapper directly and pushes him backward. A21 throws an incomplete pass. ","Foul on B53 for roughing the snapper. Team A's formation was a scrimmage kick formation because a player 10 yards behind the line was in position to receive a long snap. If accepted, the s penalty is enforced from the previous spot and includes an automatic first down.",
,,Quarterback A7 takes a slow step backward as he takes the snap.,Legal unless a teammate is in motion at the snap. ,
,,"First and 10 on Team B's 10 yard line. After the ready, Team B's captain yells for an 11th player and B22 enters the field. B22 runs through Team A's formation and crosses the neutral zone to get to his position before the ball is snapped.","Legal, it is not encroachment for a substitute to cross through the neutral zone. ",
,,"Snapper A58 places both hands on the ball before the ready. B96 then steps into the neutral zone, but does not contact the ball or an opponent.","Legal, encroachment restrictions are not in effect before the ready. ",
,,"After the ready-for-play and after the snapper has touched the ball, B79, directly opposite A65, jumps into the neutral zone and gets back without making contact. A65 immediately reacts.",Dead-ball foul on B79 for encroachment. ,
,,"After the ready-for-play and after the snapper has touched the ball, B79, directly opposite A65, jumps into the neutral zone and gets back without making contact. A65 does not react.",Dead-ball foul on B79 for encroachment. ,
,,"On third and 10 from Team A's 40 yard line, all Team A players are set. While quarterback All is calling signals, defensive back B32, starting from a position eight yards behind his line of scrimmage, runs toward the neutral zone. B32 stops directly in front of tackle A74 but does not enter the neutral zone. In response to B32's charge, A74 does not move.",No foul.,
,,"On third and 10 from Team A's 40 yard line, all Team A players are set. While quarterback All is calling signals, defensive back B32, starting from a position eight yards behind his line of scrimmage, runs toward the neutral zone. B32 stops directly in front of tackle A74 but does not enter the neutral zone. In response to B32's charge, A74 flinches or jumps.",False start on A74.,
,,A7 throws a forward pass which strikes an official standing inbounds. The ball rebounds into the air and is caught by A88.,Live ball.,
,,A7 throws a forward pass which strikes an official standing inbounds. The ball rebounds into the air and is caught by B26.,Live ball; interception.,
,,While A8 is holding the ball for a place kick B56 tackles him. ,Ball is dead as long as A8 maintains posession.,
,,"While A8 is holding the ball for a place kick, B72 grabs the ball from A8's hands. ","Live, loose ball.",
,,"While A8 is holding the ball for a place kick, B81 bats the ball. ",Live ball; fumble.,
,,"With K13 in position to kick, holder K24 fumbles the ball as he places it and he recovers with his knee still on the ground and then rises and runs.",Legal,
,,"With K13 in position to kick, holder K24 muffs the snap; the ball rolls away and K24 rises to recover and then returns to his knees to place the ball.",Ball becomes dead when K24's knee touches the ground.,
,,B25 tackles A31 by wrapping his arms around A31's waist.,Legal,
,,B25 tackles A31 by blocking him in front and below the waist.,Legal,
,,B25 tackles A31 by tripping him.,Legal,
,,B25 tackles A31 by falling across the back of A31's legs.,Legal,
,,A34 runs around the right end for a five-yard gain. B45 grabs A34 by the back collar of the shoulder pads. B45 then pulls A34 to the ground before A34 can take any additional steps.,"Horse collar tackle, 15 yard penalty; the horse collar tackle is a personal foul because A34 was pulled to the ground after his collar was grabbed. The pull down does not have to be immediate.",
,,A34 runs around the right end for a five-yard gain. B45 grabs A34 by the back collar of the shoulder pads. B45 then pulls A34 to the ground after A34 takes two steps. ,"Horse collar tackle, 15 yard penalty; the horse collar tackle is a personal foul because A34 was pulled to the ground after his collar was grabbed. The pull down does not have to be immediate.",
,,A24 runs to Team B's 45 yard line where B52 in attempting to make the tackle unsnaps A24's chin strap.,"Play continues, however, B52 is penalized for grabbing A24's chin strap.  15 yard face mask penalty.",
,,A24 runs to Team B's 45 yard line where B52 in attempting to make the tackle grasps A24's face mask and pulls his helmet off. ,The ball becomes dead at the spot A24's helmet came completely off. B52's face mask foul carries a 15-yard penalty.,
,,First and 10 on Team A's 20 yard line. A7 uses his left hand to hand the ball to A22 and then uses his right hand on A22's back to shove him forward.,A foul for helping the runner; a five-yard penalty. ,
,,"B45 is returning a punt.  As he is about to be tackled, B45 attempts to hand the ball to B23 who is in front of him, but B23 muffs the ball which falls to the ground and rolls forward and out of bounds.",No foul because the attempted forward handoff failed.  This is a fumble by B45.  The ball belongs to Team B at the out-of-bounds spot.,
,,Second and five on Team A's 35 yard line.  A8 takes the snap and places the ball on the ground behind the line.  Subsequently left tackle A73 scoops up the ball and gains 20 yards.,Foul for advancing a planned loose ball.  Team A linemen may not advance a planned loose ball in the vicinity of the snapper.,
,,Second and five on Team A's 35 yard line.  A8 takes the snap and places the ball on the ground behind the line.  Subsequently back A42 scoops up the ball and gains 20 yards.,Legal.  A back may advance a planned loose ball.,
,,"Fourth down and five at Team B's 20 yard line. After taking a handoff, A43 gains two yards, fumbles, and A76 recovers the ball at the 14 yard line and advances it to the 12.",Legal.  First and 10 for Team A at the 12 yard line.,
,,"Fourth and five at Team B's 22 yard line. The ball carrier sweeps to his left, gains three yards to the 19 yard line, and fumbles as he is tackled. The ball rolls out of bounds at the 16 yard line.","First and 10 for Team A at the 16 yard line. Had there not been a fumble, the play would have ended short of the line-to-gain.",
,,Near the sideline the ball carrier is hit and fumbles. The ball goes forward and out of bounds. The ball carrier is A23 who gained two yards before fumbling on a third-and-seven play.  When does the clock start?,The clock starts on the snap,
,,Near the sideline the ball carrier is hit and fumbles. The ball goes forward and out of bounds. The ball carrier is R37 who is returning a kickoff.  When does the clock start?,The clock starts on the snap,
,,Near the sideline the ball carrier is hit and fumbles. The ball goes forward and out of bounds. The ball carrier is A45 who was stopped short of the line-to-gain on fourth and three.  When does the clock start?,The clock starts on the snap,
,,Near the sideline the ball carrier is hit and fumbles. The ball goes forward and out of bounds. The ball carrier is A89 who is returning a ball fumbled by B29 on the return of a pass interception.  When does the clock start?,The clock starts on the snap,
,,Near the sideline the ball carrier is hit and fumbles. The ball goes forward and out of bounds. The ball carrier is A47 who recovered a fumble by B21 on his return of a scrimmage kick.  When does the clock start?,The clock starts on the snap,
,,"R45 is returning a kickoff. At Team K's five yard line he is hit from behind and fumbles the ball which goes into Team K's end zone, The ball is recovered in the end zone by R21.",Touchdown,
,,"R45 is returning a kickoff. At Team K's five yard line he is hit from behind and fumbles the ball which goes into Team K's end zone, The ball is recovered in the end zone and downed there by K63.",Touchback,
,,"R45 is returning a kickoff. At Team K's five yard line he is hit from behind and fumbles the ball which goes into Team K's end zone, The ball strikes the ground beyond the end line.",Touchback,
,,First and 10 on Team A's 20 yard line. A20 takes a handoff and is sent flying by a shoestring tackle; he dives forward and his right shoulder is first to touch the ground at Team A's 27 yard line.,The ball is spotted where it was (slightly behind the 27 yard line) when A20's shoulder touched thr ground.,
,,"First and 10 on Team A's 20 yard line. A20 takes a handoff and is grabbed by the knees which touch the ground at Team A's 25 yard line while the rest of his body is nearly upright, he then thrusts the ball forward and it contacts the ground at Team A's 26 yard line.",The dead-ball spot is Team A's 25 yard line which is where the ball was located when A20's knees touched the ground.,
,,First and 10 on Team A's 20 yard line. A20 takes a handoff and is stopped upright at Team A's 23 yard line by B27 and B31.,"Although A20 was no longer ""downed"", his forward progress was stopped at Team A's 23 yard line.",
,,Runner A42 plunges into the pack at his 35 yard line and is contacted by several Team B players. A42 is carried back several yards and dumped at his 31 yard line.,A42's voluntary movement was stopped at his 35 yard line which is the dead-ball spot.,
,,"Runner A42 plunges into the pack at his 35 yard line and is contacted by several Team B players. A42 is pushed back to his 32 yard line where he breaks free and continues to run, finally tackled to the ground at his 33 yard line.","Since A42 was able to break free and continue voluntary movement, his forward progress is where the ball was located when he contacted the ground, the 33 yard line.",
,,"Third and 15 on Team A's 35 yard line. A7 drops back to pass to his 28 yard line; he decides to run and just as he takes a step forward to his 29 yard line, is contacted by B66 who firmly grasps him and without being unnecessarily rough, swings him around. A7 comes to the ground at his 23 yard line. ",A7 is given forward progress at the spot he was contacted by B66. The dead-ball spot is Team A's 29 yard line.,
,,"Third and 15 on Team A's 35 yard line. A7 drops back to pass to his 28 yard line; while he is stationary, is contacted by B66 who firmly grasps him and without being unnecessarily rough, swings him around. A7 comes to the ground at his 23 yard line. ",A7 is given forward progress at the spot he was contacted by B66. The dead-ball spot is Team A's 28 yard line.,
,,Third and six on Team A's 30 yard line. Runner A38 sweeps around left end to the sideline. B43 attempts the tackle and he shoves A38 from behind so A38 steps out of bounds at Team As 46 yard line while moving forward.,A38's forward progress was not stopped in the field of play and the dead-ball spot is where the ball was located when A38 stepped out of bounds - Team A's 46 yard line; the clock is stopped. ,
,,Third and six on Team A's 30 yard line. Runner A38 sweeps around left end to the sideline. B43 attempts the tackle and he blocks A38's path and contacts him at Team A's 45 yard line knocking him laterally out of bounds at Team A's 45 yard line.,A38's forward progress was stopped in the field of play.  The ball is spotted at Team A's 45 yard line and the clock continues to run unless there is another reason which would cause the clock to stop. ,
,,"Third and six on Team A's 30 yard line. Runner A38 sweeps around left end to the sideline. B43 attempts the tackle and he blocks A38's path and contacts him at Team A's 42 yard line, knocking him backward and out of bounds at Team A's 41 yard line.",A38's forward progress was stopped in the field of play.  The ball is spotted at Team A's 42 yard line and the clock continues to run unless there is another reason which would cause the clock to stop. ,
,,"Third and three on Team A's 39 yard line. Runner A36 sprints around the right end and dives for a first down near the sideline. A36's last step inbounds is at his 40 yard line and while airborne, he stretches the ball and lands prone out of bounds. The side of his body is first to contact the ground, and when that happens the ball is at Team A's 44 yard line.","The covering official must decide where the ball was when it crossed the plane of the sideline. If it crossed beyond the 42 yard line, Team A will be awarded a new series. In making this judgment, the official should note whether the runner was carrying the ball in his outside or inside arm and how close to the sideline the dive began. ",
,,"Fourth and goal on Team B's six yard line. A39 tries the left side and with his feet still inbounds, extends the ball over the sideline and breaks the plane of the goal line extended.",Touchdown.,
,,"Fourth and goal on Team B's six yard line. A39 tries the left side; he dives and while airborne, the ball breaks the plane of the sideline and then the goal line extended (but not the goal line).",No touchdown.  The forward progress spot is where the ball crosses the sideline plane.,
,,The ball is snapped from the right hash mark and the run ends in the left side zone beyond the neutral zone. The foul is illegal motion on A22.  Where is the ball spotted?,The ball is spotted on the right hash mark; the penalty is enforced from the previous spot which was at the right hash mark. ,
,,The ball is snapped from the right hash mark and the run ends in the left side zone beyond the neutral zone. The foul is holding by A77 behind the neutral zone in the middle of the field.  Where is the ball spotted?,The ball is spotted in the middle of the field; the penalty is enforced from the spot of the foul.,
,,The ball is snapped from the right hash mark and the run ends in the left side zone beyond the neutral zone. The foul is grasping the face mask by B34.  Where is the ball spotted?,"The ball is spotted on the left hash mark, since the penalty is enforced from the end of the run.",
,,The ball is snapped from the center of the field and A67 behind the line holds near the right hash mark. The play is an incomplete pass and the penalty is accepted.  Where is the enforcement spot and where is the ball placed?,The penalty is enforced from the spot of the foul near the right hash mark.,
,,"For a try, Team A does not make a request for spotting of the ball and the umpire places it in the center of the field. The kick is successful, but both teams foul. For the replay, Team A asks to spot the ball at the right hash mark.",Legal.,
,,"After a punt rolls into the end zone for a touchback, Team A requests the ball placed at the right hash mark. Team A false starts. Team A then asks for the ball to be placed in the center of the field.",Legal.,
,,"After a punt rolls into the end zone for a touchback, Team A requests the ball placed at the right hash mark.  Team B encroaches. Team A then asks for the ball to be placed in the center of the field.",Legal.,
,,"To start overtime, the umpire places the ball in the center of the field. After the ready, Team A takes a charged timeout and asks to spot the ball at the left hash mark. ",Request is denied since ball has already been declared ready-for-play.,
,,"After a fair catch outside the numbers, Team A asks to have the ball placed in the center of the field.",Legal.,
,,"Runner A28 breaks free beyond the neutral zone. As B53 and B44 attempt to bring him down, A28 lowers his head and drives forward for yardage as his helmet contacts either or both defender(s).",Spearing by A28 as he intentionally used his helmet to punish B53.,
,,"Runner A28 breaks free beyond the neutral zone. As B53 and B44 are closing in to tackle him, A28 veers into B53 and deliberately drives his helmet into B53's chest.",Legal play.  The lowering of the head and the subsequent contact is not illegal unless it was an attempt to butt or ram an opponent or to punish him.,
,,"After the whistle is blown because runner A32's forward progress has been stopped, B56 forces A32 backwards several yards and grounds him roughly.",Dead-ball personal foul.  15 yard penalty from the succeeding spot.,
,,"As he attempts to tackle A16, B52's helmet comes completely off. A16 does not go down and he runs for a touchdown. ",The score stands. The ball does not become dead if the helmet comes off any player other than the ball carrier.,
,,"A26 receives a handoff from A8. Just as A26 hits the hole between center and guard, B55 grabs him by the side collar of the shoulder pads and pulls him down. ",A foul for a horse collar tackle. There is no exception for the free-blocking zone.,
,,"Split end A80 is lined up in a normal position. At the snap, he turns slightly and sprints into the backfield where he passes in front of quarterback A7 and receives a forward handoff. ",Legal.,
,,"Team A lines up in an unbalanced formation, with tight end A84 immediately to the left of the snapper. A84 turns slightly and sprints into the backfield where he passes in front of quarterback A2 and receives a forward handoff. ","Illegal forward handoff. Since A84 was adjacent to the snapper, he must leave the line in such a way that he pivots 180°, be at least one yard behind the line and moves both feet so that he faces his own goal line before receiving a forward handoff.",
,,"Third and five on Team As 30 yard line. A7 takes the snap, steps back and places the ball on the ground about a yard behind the snapper. The ball is picked by slot back A24.",Legal.  A non-lineman may advance a planned loose ball.,
,,"Second and 10 on Team As 20 yard line. A35 takes a handoff and runs to his 30 yard line. As he is being tackled, he hands the ball to A22 who is running parallel with him. A22 initially touches the ball at the 30 yard line, but doesn't control it until he gets to the 32 yard line ahead of A35. A22 then scores. ","The touchdown stands. In order for an illegal forward handoff to occur, the player receiving the handoff must be clearly in advance of the player making the handoff when he touches the ball.",
,,A23 opens a long run. B44 approaches from behind and punches the ball from A23.,Fumble.,
,,"A21 runs to his 25 yard line, where B53 attempts to tackle him and hits his arm. The ball pops into the air and A21 juggles the ball in an effort to regain control. The ball hits the ground when A21 reaches the 28 yard line. At what point did A21 fumble?",The fumble occurred at the instant A21 no longer had complete control and began juggling the ball - the 25 yard line.,
,,"Third and goal at Team B's two yard line. Ball carrier A26 is hit and fumbles at the one yard line and the ball bounces toward the pylon. A45 dives and grabs the ball while he is airborne. While he is still airborne and clearly holding the ball over the goal line, A45's knee touches the pylon. ","Because A45 touched the pylon while holding the ball, he did not complete the recovery and the ball is declared out of bounds at its most forward point which is in the end zone. Touchback: first and 10 for Team B at its 20 yard line.",
,,"Third and two at Team B's five yard line. Ball carrier A15 gains three yards to the two, where he fumbles and the ball rolls out of bounds at the one yard line.","First and goal for Team A at the one yard line. Team As forward fumble went out of bounds between the goal lines, so the ball belongs to Team A at the out-of-bounds spot. The clock starts on the snap.",
,,"B31 intercepts a forward pass in his end zone. While still in his end zone, 631 fumbles. The ball rolls forward and goes out of bounds on Team B's two yard line. ",It is Team B's ball on the two yard line where the ball went out of bounds.,
,,Third and goal at Team B's six yard line. Ball carrier A22 is hit and fumbles at the five yard line. The ball is caught and his momentum carries him into the end zone where he is downed.,Team B's ball first and 10 at the three yard line. The momentum exception applies.,
,,"Third and goal at Team B's six yard line. Ball carrier A22 is hit and fumbles at the five yard line. The ball is recovered by B16 at the three yard line, and his momentum carries him into the end zone where he is downed.",Team B's ball first and 10 at the three yard line. The momentum exception applies.,
,,"Second and eight at Team A's four yard line. A21 takes a handoff and is at his own three yard line when he is hit and fumbles. The ball hits the ground and bounces up. It is caught or recovered by A42 at his own two yard line. A42's momentum takes him into the end zone, where he is tackled","Since Team A is still the offensive team, the momentum exception does not apply, Team B scores a safety.",
,,"Second and eight at Team A's four yard line. A21 takes a handoff and is at his own three yard line when he is hit and fumbles. The ball pops up into the air. It is caught or recovered by A42 at his own two yard line. A42's momentum takes him into the end zone, where he is tackled","Since Team A is still the offensive team, the momentum exception does not apply, Team B scores a safety.",
,,A33 is tackled at his 40 yard line and rolls forward. His shoulder contacts the back of A66 or B56 who is lying on the ground. A33 is able to roll off that player and regain his balance by touching the ground with his hand. He is then able to rise and continue running without any part of his body other than a hand or foot touching the ground,"Legal, A33 is not down.",
,,Third and five on Team B's 26 yard line. Airborne B35 controls a legal forward pass in his end zone and is then driven forward by A87's tackle to his two yard line where he first comes to the ground and is downed.,"B35 is ""entitled"" to the forward progress spot at the two yard line. This is a rare situation where forward progress works to the disadvantage of the team in possession.",
,,"First and 10 on Team A's four yard line. A22 is tackled and the ball is lying with the foremost point of the ball on the eight-inch line, but part of the ball is on the goal line.","Safety. Although the forward progress spot would normally be at the foremost point of the ball, the ball must be advanced completely out of the end zone to avoid a safety. The goal line is in the end zone and the ball is considered to have become dead in the end zone.",
,,Second and 15 at Team A's two yard line. A22 receives a handoff and is tackled just beyond the goal line with the long axis of the ball parallel to the goal line.,"Since placing the ball at its foremost point with the long axis perpendicular to the goal line would result in part of the ball in the end zone, the ball is advanced a few inches so that it is entirely in the field of play.",
,,A24 is advancing towards Team B's goal line and is very near the right sideline. A24 thrusts the ball in his left hand to reach the goal line inside the pylon. A24 is hit by B53 and knocked out of bounds and passes through the goal line extended.,The covering official must judge whether A24 was inbounds when the ball broke the plane of the goal line. A24 is out of bounds when a foot first touches the sideline or the area outside the sideline.,
,,"A26 is advancing towards Team B's goal line and is very near the right sideline. A26 is pursued by B53 and dives for the pylon. The ball glances off the right side of the pylon, while still in his possession. ","The covering official must judge whether A26 was inbounds when the ball touched the pylon. Unless A26 touched out of bounds before the ball touched the pylon, it is a touchdown.",
,,"The referee blows the ready-for-play for a kickoff. As K22 prepares to kick from the middle of the field, a gust of wind blows the bail off the tee. K22 picks up the ball and moves it to the right hash mark. ","Legal. Since there will be a new ready signal, Team K may designate the placement of the ball.",
